trial_id,phase_id,phase_label,ramp_configuration,ramps_up,ramps_down,turns_per_block,speed_factor,headway_arrival_min,corner_delay_per_turn_min,service_time_min,arrival_rate_blocks_per_min,service_rate_blocks_per_min,utilization,per_ramp_capacity_blocks_per_hour,total_capacity_blocks_per_hour,mean_corner_queue_length,waiting_probability,blocking_probability,mc_settings
1,1,Phase 1,16 straight edge-ramps,12,4,0,1.1103641933335642,4.547912097111927,0.0,3.1521189363034208,0.21988111877426847,0.3172469123810183,0.6930914382239532,19.034814742861098,228.41777691433316,0.7826040090890025,0.6930914382239532,0.0,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
2,1,Phase 1,16 straight edge-ramps,12,4,0,1.1056188807373353,3.877756879504105,0.0,3.165647820400694,0.2578810459432109,0.31589110878209575,0.8163605710127768,18.953466526925745,227.44159832310893,1.8145465425910121,0.8163605710127768,0.0,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
3,1,Phase 1,16 straight edge-ramps,12,4,0,0.8513475155416621,4.7171958398227645,0.0,4.111129634028657,0.21199035061422683,0.24324214729761776,0.871519812538273,13.966385788506857,167.5966294620823,2.9558907044442493,0.871519812538273,0.04303962507654613,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
4,1,Phase 1,16 straight edge-ramps,12,4,0,0.7683276975841186,4.394736058118728,0.0,4.555347947243319,0.22754495077187276,0.21952219930974817,0.995,9.351645690595271,112.21974828714326,103.13636922822104,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
5,1,Phase 1,16 straight edge-ramps,12,4,0,0.9018997609035346,3.188354695775299,0.0,3.8806973365794617,0.31364139044035505,0.2576856459724384,0.995,10.977408518425875,131.7289022211105,121.10615719803492,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
6,1,Phase 1,16 straight edge-ramps,12,4,0,0.8285681524294755,4.951244703273511,0.0,4.224154633191633,0.20196941575900113,0.236733757836993,0.8531500433413918,14.11453887851273,169.37446654215276,2.478260848743505,0.8531500433413918,0.00630008668278359,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
7,1,Phase 1,16 straight edge-ramps,12,4,0,0.947894239607847,4.522279403980706,0.0,3.6923950518445854,0.22112742505908783,0.270826925602242,0.8164898101153103,16.24961553613452,194.99538643361424,1.8163994338435232,0.8164898101153103,0.0,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
8,1,Phase 1,16 straight edge-ramps,12,4,0,1.2396730595763021,4.572128610553907,0.0,2.823325047651061,0.21871650716291888,0.3541923027360864,0.6175077930078215,21.251538164165183,255.0184579699822,0.49846227904087476,0.6175077930078215,0.0,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9,1,Phase 1,16 straight edge-ramps,12,4,0,0.8405356854526105,3.2562272653510917,0.0,4.1640111902153505,0.3071038716003683,0.24015305298646014,0.995,10.230520057223202,122.76624068667843,127.23900381128786,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
10,1,Phase 1,16 straight edge-ramps,12,4,0,0.9094369717114845,3.9007718757911345,0.0,3.848534982488442,0.2563595185368755,0.2598391347747099,0.9866085751830596,11.33079760907794,135.9695713089353,36.34402216085995,0.9866085751830596,0.27321715036611915,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
11,1,Phase 1,16 straight edge-ramps,12,4,0,1.1125571581597862,3.7415960484651625,0.0,3.1459057850017698,0.2672656232920198,0.3178734737599389,0.8407924704464688,19.072408425596336,228.86890110715603,2.220158746077962,0.8407924704464688,0.0,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
12,1,Phase 1,16 straight edge-ramps,12,4,0,1.0045913914309608,4.853529977697203,0.0,3.484003575836468,0.20603560802038318,0.2870261118374174,0.7178287950926557,17.221566710245042,206.6588005229405,0.9130594654996322,0.7178287950926557,0.0,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
13,1,Phase 1,16 straight edge-ramps,12,4,0,0.7719640717866925,4.287730240161329,0.0,4.533889759790677,0.2332236274179353,0.22056116336762643,0.995,9.395905559460886,112.75086671353063,105.2123165010955,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
14,1,Phase 1,16 straight edge-ramps,12,4,0,0.8308450090806608,4.64552322654166,0.0,4.212578714136814,0.21526100532370943,0.23738428830876024,0.9068039290103498,12.624934067174026,151.49920880608832,4.411631074876142,0.9068039290103498,0.11360785802069961,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
15,1,Phase 1,16 straight edge-ramps,12,4,0,1.217624777386598,3.8868283976546625,0.0,2.8744487341265264,0.2572791740956216,0.34789279353902797,0.7395357962962779,20.873567612341677,250.48281134810014,1.0498816847509747,0.7395357962962779,0.0,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
16,1,Phase 1,16 straight edge-ramps,12,4,0,0.8015824963695142,3.4544774435695538,0.0,4.366362808384687,0.2894793833033942,0.22902357039128976,0.995,9.756404098668943,117.07684918402731,125.7652152984824,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
17,1,Phase 1,16 straight edge-ramps,12,4,0,1.0675463936048528,4.10916957403167,0.0,3.2785460388108514,0.24335817297967097,0.3050132553156722,0.7978609740347463,18.30079531894033,219.60954382728397,1.5746146268585914,0.7978609740347463,0.0,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
18,1,Phase 1,16 straight edge-ramps,12,4,0,1.1461628244204558,3.127634512208351,0.0,3.053667354609704,0.31973045318966087,0.3274750926915588,0.9763504471798335,14.683310633273218,176.19972759927862,20.15387358393087,0.9763504471798335,0.25270089435966714,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
19,1,Phase 1,16 straight edge-ramps,12,4,0,0.882719531362462,4.655262343985164,0.0,3.965019324538806,0.2148106650298776,0.2522055803892748,0.851728437960497,15.080024219477208,180.9602906337265,2.446326598479329,0.851728437960497,0.0034568759209940847,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
20,1,Phase 1,16 straight edge-ramps,12,4,0,1.112539001569345,4.26332879824413,0.0,3.145957126053925,0.23455849814160573,0.31786828616267,0.7379109787050909,19.072097169760198,228.86516603712238,1.0387932501010906,0.7379109787050909,0.0,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
21,1,Phase 1,16 straight edge-ramps,12,4,0,0.8349475895150902,4.516175480170748,0.0,4.191879878391749,0.22142629408239733,0.2385564541471686,0.9281924267108553,12.074990281953635,144.89988338344364,5.998957641516818,0.9281924267108553,0.1563848534217107,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
