mu,theta_deg,phase_id,phase_label,ramp_configuration,ramps_up,ramps_down,n_trials,S_mu_theta,total_capacity_blocks_per_hour_median,total_capacity_blocks_per_hour_ci_lower,total_capacity_blocks_per_hour_ci_upper,per_ramp_capacity_blocks_per_hour_median,per_ramp_capacity_blocks_per_hour_ci_lower,per_ramp_capacity_blocks_per_hour_ci_upper,utilization_median,utilization_ci_lower,utilization_ci_upper,mean_corner_queue_length_median,mean_corner_queue_length_ci_lower,mean_corner_queue_length_ci_upper,waiting_probability_median,waiting_probability_ci_lower,waiting_probability_ci_upper,blocking_probability_median,blocking_probability_ci_lower,blocking_probability_ci_upper,service_time_min_median,service_time_min_ci_lower,service_time_min_ci_upper,headway_arrival_min_median,headway_arrival_min_ci_lower,headway_arrival_min_ci_upper
0.3,6,1,Phase 1,16 straight edge-ramps,12,4,10000,1.225262930002397,122.09598251525102,90.82420616904729,166.86035683270313,10.174665209604251,7.568683847420607,13.905029736058594,0.995,0.7510246648269199,0.995,108.74823914074186,1.1327187233427123,163.82414386146527,0.995,0.7510246648269199,0.995,0.29000000000000004,0.0,0.29000000000000004,4.272071955280078,3.465360616083431,5.628455471659431,3.996602982832421,3.0514003429035563,4.951704245748538
0.3,6,2,Phase 2,8 straight edge-ramps,6,2,10000,1.225262930002397,58.58809089845031,44.16165977045758,81.12060194163267,9.764681816408384,7.360276628409597,13.520100323605446,0.995,0.7749889184501785,0.995,111.89410369646194,1.3346185132172887,168.63063252139779,0.995,0.7749889184501785,0.995,0.29000000000000004,0.0,0.29000000000000004,4.412546647869416,3.565405724189714,5.7878259415670525,4.001123283976299,3.051098741740821,4.947355315118351
0.3,6,3a,Phase 3a,4 helical edge-ramps,3,1,10000,1.225262930002397,16.7040437259652,11.71505342098573,22.54016154470419,5.568014575321733,3.9050178069952435,7.513387181568064,0.995,0.995,0.995,192.2785800122594,127.35427630693788,302.30583141416736,0.995,0.995,0.995,0.29000000000000004,0.29000000000000004,0.29000000000000004,7.650842042499014,5.669879510383976,10.909041170055007,3.9943754799125037,3.0475231156120692,4.947522944009457
0.3,6,3b,Phase 3b,2 helical edge-ramps,2,0,10000,1.225262930002397,10.916621563320703,7.755319165482707,14.762570201137448,5.4583107816603516,3.8776595827413534,7.381285100568724,0.995,0.995,0.995,195.4870997319852,130.47109316385507,306.19580601993755,0.995,0.995,0.995,0.29000000000000004,0.29000000000000004,0.29000000000000004,7.804612421974809,5.77135276881371,10.98600824209307,3.9887940137676328,3.046055588260179,4.944567154168854
0.3,6,3c,Phase 3c,1 helical edge-ramp,1,0,10000,1.225262930002397,3.9579674639850433,2.5376254373909366,5.665713526369142,3.9579674639850433,2.5376254373909366,5.665713526369142,0.995,0.995,0.995,271.22640592105597,172.36751629476308,454.34197784609927,0.995,0.995,0.995,0.29000000000000004,0.29000000000000004,0.29000000000000004,10.763100132842066,7.518911765539924,16.78734748632039,4.000521141529004,3.0511998170437318,4.9533247740149395
0.3,7,1,Phase 1,16 straight edge-ramps,12,4,10000,1.2761977980616004,116.0311548366251,87.19928300680014,160.29387998508108,9.669262903052092,7.266606917233345,13.357823332090089,0.995,0.7822451818894018,0.995,113.26896451051496,1.4050378551885452,170.63440551891975,0.995,0.7822451818894018,0.995,0.29000000000000004,0.0,0.29000000000000004,4.4496643854870275,3.6094176029029246,5.8624335263333895,3.996602982832421,3.0514003429035563,4.951704245748538
0.3,7,2,Phase 2,8 straight edge-ramps,6,2,10000,1.2761977980616004,55.842387268780705,42.39910515933052,78.25491427151485,9.307064544796784,7.066517526555085,13.042485711919142,0.995,0.8072056429931525,0.995,116.54560442240896,1.689834412131879,175.6407026115788,0.995,0.8072056429931525,0.995,0.29000000000000004,0.0,0.29000000000000004,4.595978689932314,3.7136216423345454,6.028429116171197,4.001123283976299,3.051098741740821,4.947355315118351
0.3,7,3a,Phase 3a,4 helical edge-ramps,3,1,10000,1.2761977980616004,16.27398977561016,11.490425623542526,21.91458822616039,5.424663258536721,3.8301418745141755,7.304862742053464,0.995,0.995,0.995,197.1978621757725,130.89425377273585,309.5776721532938,0.995,0.995,0.995,0.29000000000000004,0.29000000000000004,0.29000000000000004,7.8530220163133055,5.831731754686214,11.12230340177089,3.9943754799125037,3.0475231156120692,4.947522944009457
0.3,7,3b,Phase 3b,2 helical edge-ramps,2,0,10000,1.2761977980616004,10.637601145511177,7.598203659067756,14.33793290709782,5.318800572755588,3.799101829533878,7.16896645354891,0.995,0.995,0.995,200.60213214560724,134.230717416309,313.3552550759555,0.995,0.995,0.995,0.29000000000000004,0.29000000000000004,0.29000000000000004,8.009324549564615,5.942279166415691,11.21317667330928,3.9887940137676328,3.046055588260179,4.944567154168854
0.3,7,3c,Phase 3c,1 helical edge-ramp,1,0,10000,1.2761977980616004,3.8829623286118187,2.5081048562915536,5.531159983274013,3.8829623286118187,2.5081048562915536,5.531159983274013,0.995,0.995,0.995,276.7333419411931,176.31475713763706,460.8998142187642,0.995,0.995,0.995,0.29000000000000004,0.29000000000000004,0.29000000000000004,10.971005226366662,7.701820280380692,16.984936009044763,4.000521141529004,3.0511998170437318,4.9533247740149395
