Turn,6.0,6.25,6.5,6.75,7.0,7.25,7.3,7.4,7.5,7.6,7.75,8.0
1,31,32,34,35,36,38,38,38,39,39,40,42
2,58,60,62,64,66,68,69,70,71,72,73,75
3,80,83,85,88,91,94,94,95,97,98,99,103
4,99,102,105,108,111,114,115,116,118,119,121,125
5,115,119,122,125,128,131,131,133,135,137,139,142
6,129,132,136,139,142,145,145,147,149,151,153,157
7,141,144,147,150,153,156,156,159,161,162,165,169
8,151,154,157,160,163,165,166,168,170,172,174,178
9,159,162,165,168,170,173,173,175,178,180,182,186
10,166,169,172,174,177,179,179,182,184,186,189,192
