Course,Height,blocks,Separation,New base size,Length,Ramp inclination,Start height,% total height,Ramp length (m)
0,25.9,37,19.34,176.56,198.56,7.43,0.00,0.00,0.00
1,21,30,15.87,144.83,162.84,7.35,25.90,18.05,198.56
2,17.5,25,13.02,118.80,133.61,7.46,46.90,32.68,361.39
3,14,20,10.68,97.45,109.55,7.28,64.40,44.88,495.00
4,11.9,17,8.76,79.93,89.91,7.54,78.40,54.63,604.54
5,9.8,14,7.18,65.57,73.76,7.57,90.30,62.93,694.46
6,7.7,11,5.89,53.78,60.46,7.26,100.10,69.76,768.21
7,6.3,9,4.83,44.12,49.59,7.24,107.80,75.12,828.67
8,5.6,8,3.96,36.19,40.73,7.83,114.10,79.51,878.26
9,4.2,6,3.25,29.68,33.36,7.18,119.70,83.41,918.99
10,3.5,5,2.67,24.35,27.37,7.29,123.90,86.34,952.35
