Course;Height;blocks;Separation;New base size;Length;Ramp inclination;Start height;% total height;Ramp length (m);0
0;27,69;39;21,85;186,65;211,47;7,46;0;0;0;27,69
1;22,72;32;17,71;151,24;171,38;7,55;27,69;18,84;211,47;50,41
2;18,46;26;14,35;122,54;138,87;7,57;50,41;34,3;382,85;68,87
3;14,91;21;11,63;99,29;112,52;7,55;68,87;46,86;521,73;83,78
4;12,07;17;9,42;80,45;91,17;7,54;83,78;57;634,25;95,85
5;9,94;14;7,63;65,19;73,89;7,66;95,85;65,22;725,41;105,79
6;7,81;11;6,18;52,82;59,84;7,44;105,79;71,98;799,31;113,6
7;6,39;9;5,01;42,8;48,49;7,51;113,6;77,29;859,15;119,99
8;4,97;7;4,06;34,68;39,27;7,21;119,99;81,64;907,64;124,96
9;4,26;6;3,29;28,1;31,85;7,62;124,96;85,02;946,91;129,22
10;3,55;5;2,67;22,77;25,82;7,83;129,22;87,92;978,75;132,77
11;2,84;4;2,16;18,45;20,91;7,73;132,77;90,34;1004,57;135,61
12;2,13;3;1,75;14,95;16,92;7,17;135,61;92,27;1025,49;137,74
13;2,13;3;1,42;12,11;13,77;8,79;137,74;93,72;1042,41;139,87
14;1,42;2;1,15;9,81;11,11;7,28;139,87;95,17;1056,18;141,29
15;1,42;2;0,93;7,95;9,04;8,92;141,29;96,14;1067,29;142,71
16;0,71;1;0,75;6,44;7,27;5,58;142,71;97,1;1076,34;
17;0,71;1;0,61;5,22;5,91;6,85;143,42;97,58;1083,61;
18;0,71;1;0,5;4,23;4,8;8,41;144,13;98,07;1089,51;
19;0,71;1;0,4;3,43;3,91;10,28;144,84;98,55;1094,32;
20;0,71;1;0,33;2,78;3,2;12,51;145,55;99,03;1098,23;
