Row;blocks;up ramps;blocks per ramp;fixed headway(min);adaptative headway(min);total time(min);adaptative total time(min);total time(working years);adaptativive total time(working years)
0;32902;2;16451;4.56;2.33;74943.44;38385.66;0.40034;0.20505
1;32400;2;16200;4.56;2.34;73800.00;37967.52;0.39423;0.20282
2;32041;2;16020;4.56;2.36;72980.00;37787.89;0.38985;0.20186
3;31684;2;15842;4.56;2.38;72169.11;37647.97;0.38552;0.20111
4;31329;2;15664;4.56;2.40;71358.22;37531.37;0.38119;0.20049
5;30976;2;15488;4.56;2.42;70556.44;37436.45;0.37690;0.19998
6;30976;2;15488;4.56;2.44;70556.44;37783.56;0.37690;0.20184
7;30625;2;15312;4.56;2.46;69754.66;37715.04;0.37262;0.20147
8;30276;2;15138;4.56;2.49;68962.00;37658.86;0.36839;0.20117
9;29929;2;14964;4.56;2.51;68169.33;37608.21;0.36415;0.20090
10;29584;2;14792;4.56;2.54;67385.77;37566.59;0.35997;0.20068
11;29241;2;14620;4.56;2.57;66602.22;37527.65;0.35578;0.20047
12;28900;2;14450;4.56;2.59;65827.77;37495.43;0.35164;0.20030
13;28561;2;14280;4.56;2.62;65053.33;37463.82;0.34751;0.20013
14;28224;2;14112;4.56;2.65;64288.00;37437.22;0.34342;0.19999
15;28224;2;14112;4.56;2.68;64288.00;37860.35;0.34342;0.20225
16;27889;2;13944;4.56;2.71;63522.66;37836.17;0.33933;0.20212
17;27556;2;13778;4.56;2.74;62766.44;37815.18;0.33529;0.20200
18;27225;2;13612;4.56;2.78;62010.22;37791.41;0.33125;0.20188
19;26896;2;13448;4.56;2.81;61263.11;37769.89;0.32726;0.20176
20;26569;2;13284;4.56;2.84;60516.00;37744.61;0.32327;0.20163
21;26244;2;13122;4.56;2.87;59778.00;37720.83;0.31933;0.20150
22;25921;2;12960;4.56;2.91;59040.00;37692.48;0.31538;0.20135
23;25600;2;12800;4.56;2.94;58311.11;37665.02;0.31149;0.20120
24;25600;2;12800;4.56;2.98;58311.11;38108.64;0.31149;0.20357
25;25281;2;12640;4.56;3.01;57582.22;38075.87;0.30760;0.20340
26;24964;2;12482;4.56;3.05;56862.44;38043.25;0.30375;0.20322
27;24649;2;12324;4.56;3.08;56142.66;38004.49;0.29991;0.20302
28;24336;2;12168;4.56;3.12;55432.00;37965.51;0.29611;0.20281
29;24025;2;12012;4.56;3.16;54721.33;37919.89;0.29231;0.20256
30;23716;2;11858;4.56;3.19;54019.77;37873.73;0.28857;0.20232
31;23409;2;11704;4.56;3.23;53318.22;37820.50;0.28482;0.20203
32;23409;2;11704;4.56;3.27;53318.22;38263.41;0.28482;0.20440
33;23104;2;11552;4.56;3.31;52625.77;38207.75;0.28112;0.20410
34;22801;2;11400;4.56;3.35;51933.33;38144.46;0.27742;0.20376
35;22500;2;11250;4.56;3.38;51250.00;38080.07;0.27377;0.20342
36;22201;2;11100;4.56;3.42;50566.66;38007.73;0.27012;0.20303
37;21904;2;10952;4.56;3.46;49892.44;37934.14;0.26652;0.20264
38;21609;2;10804;4.56;3.50;49218.22;37852.32;0.26292;0.20220
39;21316;2;10658;4.56;3.54;48553.11;37769.15;0.25936;0.20176
40;21025;2;10512;4.56;3.58;47888.00;37677.52;0.25581;0.20127
41;21025;2;10512;4.56;3.63;47888.00;38106.47;0.25581;0.20356
42;20736;2;10368;4.56;3.67;47232.00;38010.64;0.25231;0.20305
43;20449;2;10224;4.56;3.71;46576.00;37906.00;0.24880;0.20249
44;20164;2;10082;4.56;3.75;45929.11;37799.85;0.24535;0.20192
45;19881;2;9940;4.56;3.79;45282.22;37684.69;0.24189;0.20131
46;19600;2;9800;4.56;3.83;44644.44;37568.03;0.23849;0.20068
47;19321;2;9660;4.56;3.88;44006.66;37442.21;0.23508;0.20001
48;19044;2;9522;4.56;3.92;43378.00;37314.91;0.23172;0.19933
49;19044;2;9522;4.56;3.96;43378.00;37725.06;0.23172;0.20152
50;18769;2;9384;4.56;4.01;42749.33;37585.01;0.22836;0.20077
51;18496;2;9248;4.56;4.05;42129.78;37443.50;0.22505;0.20002
52;18225;2;9112;4.56;4.09;41510.22;37292.47;0.22174;0.19921
53;17956;2;8978;4.56;4.14;40899.78;37140.07;0.21848;0.19840
54;17689;2;8844;4.56;4.18;40289.33;36978.07;0.21522;0.19753
55;17424;2;8712;4.56;4.23;39688.00;36814.77;0.21201;0.19666
56;17161;2;8580;4.56;4.27;39086.66;36641.80;0.20880;0.19574
57;17161;2;8580;4.56;4.32;39086.66;37028.70;0.20880;0.19780
58;16900;2;8450;4.56;4.36;38494.44;36850.70;0.20563;0.19685
59;16641;2;8320;4.56;4.41;37902.22;36662.87;0.20247;0.19585
60;16384;2;8192;4.56;4.45;37319.11;36474.00;0.19935;0.19484
61;16129;2;8064;4.56;4.50;36736.00;36275.25;0.19624;0.19378
62;15876;2;7938;4.56;4.54;36162.00;36075.62;0.19317;0.19271
63;15625;2;7812;4.56;4.59;35588.00;35866.08;0.19011;0.19159
64;15376;2;7688;4.56;4.64;35023.11;35655.81;0.18709;0.19047
65;15376;2;7688;4.56;4.68;35023.11;36016.53;0.18709;0.19240
66;15129;2;7564;4.56;4.73;34458.22;35792.16;0.18407;0.19120
67;14884;2;7442;4.56;4.78;33902.44;35567.26;0.18110;0.19000
68;14641;2;7320;4.56;4.83;33346.66;35332.36;0.17813;0.18874
69;14400;2;7200;4.56;4.87;32800.00;35097.12;0.17521;0.18748
70;14161;2;7080;4.56;4.92;32253.33;34851.89;0.17229;0.18617
71;13924;2;6962;4.56;4.97;31715.78;34606.51;0.16942;0.18486
72;13689;2;6844;4.56;5.02;31178.22;34351.16;0.16655;0.18350
73;13689;2;6844;4.56;5.07;31178.22;34683.74;0.16655;0.18528
74;13456;2;6728;4.56;5.12;30649.78;34424.18;0.16373;0.18389
75;13225;2;6612;4.56;5.17;30121.33;34154.60;0.16090;0.18245
76;12996;2;6498;4.56;5.21;29602.00;33885.36;0.15813;0.18101
77;12769;2;6384;4.56;5.26;29082.67;33606.15;0.15536;0.17952
78;12544;2;6272;4.56;5.31;28572.44;33327.51;0.15263;0.17803
79;12321;2;6160;4.56;5.36;28062.22;33038.95;0.14991;0.17649
80;12321;2;6160;4.56;5.41;28062.22;33346.69;0.14991;0.17813
81;12100;2;6050;4.56;5.46;27561.11;33054.59;0.14723;0.17657
82;11881;2;5940;4.56;5.51;27060.00;32752.56;0.14455;0.17496
83;11664;2;5832;4.56;5.56;26568.00;32451.67;0.14192;0.17335
84;11449;2;5724;4.56;5.62;26076.00;32140.91;0.13929;0.17169
85;11236;2;5618;4.56;5.67;25593.11;31831.55;0.13672;0.17004
86;11025;2;5512;4.56;5.72;25110.22;31512.40;0.13414;0.16834
87;10816;2;5408;4.56;5.77;24636.44;31194.92;0.13160;0.16664
88;10816;2;5408;4.56;5.82;24636.44;31472.97;0.13160;0.16812
89;10609;2;5304;4.56;5.87;24162.67;31141.36;0.12907;0.16635
90;10404;2;5202;4.56;5.92;23698.00;30811.77;0.12659;0.16459
91;10201;2;5100;4.56;5.98;23233.33;30472.50;0.12411;0.16278
92;10000;2;5000;4.56;6.03;22777.78;30135.55;0.12168;0.16098
93;9801;2;4900;4.56;6.08;22322.22;29789.01;0.11924;0.15913
94;9604;2;4802;4.56;6.13;21875.78;29445.08;0.11686;0.15729
95;9409;2;4704;4.56;6.18;21429.33;29091.67;0.11447;0.15540
96;9409;2;4704;4.56;6.24;21429.33;29339.96;0.11447;0.15673
97;9216;2;4608;4.56;6.29;20992.00;28985.17;0.11214;0.15484
98;9025;2;4512;4.56;6.34;20554.67;28620.95;0.10980;0.15289
99;8836;2;4418;4.56;6.40;20126.44;28260.05;0.10751;0.15096
100;8649;2;4324;4.56;6.45;19698.22;27889.83;0.10523;0.14898
101;8464;2;4232;4.56;6.50;19279.11;27523.25;0.10299;0.14703
102;8281;2;4140;4.56;6.56;18860.00;27147.47;0.10075;0.14502
103;8100;2;4050;4.56;6.61;18450.00;26775.66;0.09856;0.14303
104;7921;2;3960;4.56;6.67;18040.00;26394.77;0.09637;0.14100
105;7744;2;3872;4.56;6.72;17639.11;26018.19;0.09423;0.13899
