Row;blocks;up ramps;blocks per ramp;fixed headway(min);adaptative headway(min);total time(min);adaptative total time(min);total time(working years);adaptativive total time(working years)
0;32902;12;2741;6.00;2.33;16446.00;6395.67;0.08785;0.03416
1;32400;12;2700;6.00;2.34;16200.00;6327.92;0.08654;0.03380
2;32041;12;2670;6.00;2.36;16020.00;6297.98;0.08558;0.03364
3;31684;12;2640;6.00;2.38;15840.00;6273.87;0.08462;0.03351
4;31329;12;2610;6.00;2.40;15660.00;6253.63;0.08365;0.03341
5;30976;12;2581;6.00;2.42;15486.00;6238.60;0.08272;0.03333
6;30976;12;2581;6.00;2.44;15486.00;6296.45;0.08272;0.03363
7;30625;12;2552;6.00;2.46;15312.00;6285.84;0.08179;0.03358
8;30276;12;2523;6.00;2.49;15138.00;6276.48;0.08087;0.03353
9;29929;12;2494;6.00;2.51;14964.00;6268.04;0.07994;0.03348
10;29584;6;4930;6.00;2.54;29580.00;12520.50;0.15801;0.06688
11;29241;6;4873;6.00;2.57;29238.00;12508.36;0.15619;0.06682
12;28900;6;4816;6.00;2.59;28896.00;12496.75;0.15436;0.06676
13;28561;6;4760;6.00;2.62;28560.00;12487.94;0.15256;0.06671
14;28224;6;4704;6.00;2.65;28224.00;12479.07;0.15077;0.06666
15;28224;6;4704;6.00;2.68;28224.00;12620.12;0.15077;0.06742
16;27889;6;4648;6.00;2.71;27888.00;12612.06;0.14897;0.06737
17;27556;6;4592;6.00;2.74;27552.00;12603.23;0.14718;0.06732
18;27225;6;4537;6.00;2.78;27222.00;12596.21;0.14542;0.06729
19;26896;6;4482;6.00;2.81;26892.00;12588.09;0.14365;0.06724
20;26569;6;4428;6.00;2.84;26568.00;12581.54;0.14192;0.06721
21;26244;3;8748;6.00;2.87;52488.00;25147.22;0.28038;0.13433
22;25921;3;8640;6.00;2.91;51840.00;25128.32;0.27692;0.13423
23;25600;3;8533;6.00;2.94;51198.00;25109.03;0.27349;0.13413
24;25600;3;8533;6.00;2.98;51198.00;25404.77;0.27349;0.13571
25;25281;3;8427;6.00;3.01;50562.00;25384.92;0.27010;0.13560
26;24964;3;8321;6.00;3.05;49926.00;25361.15;0.26670;0.13548
27;24649;3;8216;6.00;3.08;49296.00;25336.33;0.26333;0.13534
28;24336;3;8112;6.00;3.12;48672.00;25310.34;0.26000;0.13520
29;24025;3;8008;6.00;3.16;48048.00;25279.92;0.25667;0.13504
30;23716;3;7905;6.00;3.19;47430.00;25248.09;0.25337;0.13487
31;23409;3;7803;6.00;3.23;46818.00;25214.74;0.25010;0.13469
32;23409;3;7803;6.00;3.27;46818.00;25510.03;0.25010;0.13627
33;23104;3;7701;6.00;3.31;46206.00;25470.73;0.24683;0.13606
34;22801;3;7600;6.00;3.35;45600.00;25429.64;0.24359;0.13584
35;22500;3;7500;6.00;3.38;45000.00;25386.71;0.24038;0.13561
36;22201;3;7400;6.00;3.42;44400.00;25338.49;0.23718;0.13536
37;21904;3;7301;6.00;3.46;43806.00;25288.27;0.23401;0.13509
38;21609;3;7203;6.00;3.50;43218.00;25236.05;0.23087;0.13481
39;21316;3;7105;6.00;3.54;42630.00;25178.25;0.22772;0.13450
40;21025;3;7008;6.00;3.58;42048.00;25118.34;0.22462;0.13418
41;21025;3;7008;6.00;3.63;42048.00;25404.31;0.22462;0.13571
42;20736;3;6912;6.00;3.67;41472.00;25340.43;0.22154;0.13537
43;20449;3;6816;6.00;3.71;40896.00;25270.66;0.21846;0.13499
44;20164;3;6721;6.00;3.75;40326.00;25198.65;0.21542;0.13461
45;19881;3;6627;6.00;3.79;39762.00;25124.39;0.21240;0.13421
46;19600;3;6533;6.00;3.83;39198.00;25044.08;0.20939;0.13378
47;19321;3;6440;6.00;3.88;38640.00;24961.47;0.20641;0.13334
48;19044;3;6348;6.00;3.92;38088.00;24876.61;0.20346;0.13289
49;19044;3;6348;6.00;3.96;38088.00;25150.04;0.20346;0.13435
50;18769;3;6256;6.00;4.01;37536.00;25056.67;0.20051;0.13385
51;18496;3;6165;6.00;4.05;36990.00;24960.98;0.19760;0.13334
52;18225;3;6075;6.00;4.09;36450.00;24863.01;0.19471;0.13282
53;17956;3;5985;6.00;4.14;35910.00;24758.67;0.19183;0.13226
54;17689;3;5896;6.00;4.18;35376.00;24652.05;0.18897;0.13169
55;17424;3;5808;6.00;4.23;34848.00;24543.18;0.18615;0.13111
56;17161;3;5720;6.00;4.27;34320.00;24427.87;0.18333;0.13049
57;17161;3;5720;6.00;4.32;34320.00;24685.80;0.18333;0.13187
58;16900;3;5633;6.00;4.36;33798.00;24565.68;0.18054;0.13123
59;16641;3;5547;6.00;4.41;33282.00;24443.38;0.17779;0.13057
60;16384;3;5461;6.00;4.45;32766.00;24314.51;0.17503;0.12989
61;16129;3;5376;6.00;4.50;32256.00;24183.50;0.17231;0.12919
62;15876;3;5292;6.00;4.54;31752.00;24050.41;0.16962;0.12847
63;15625;3;5208;6.00;4.59;31248.00;23910.72;0.16692;0.12773
64;15376;3;5125;6.00;4.64;30750.00;23768.99;0.16426;0.12697
65;15376;3;5125;6.00;4.68;30750.00;24009.46;0.16426;0.12826
66;15129;3;5043;6.00;4.73;30258.00;23863.02;0.16163;0.12747
67;14884;3;4961;6.00;4.78;29766.00;23709.91;0.15901;0.12666
68;14641;3;4880;6.00;4.83;29280.00;23554.91;0.15641;0.12583
69;14400;3;4800;6.00;4.87;28800.00;23398.08;0.15385;0.12499
70;14161;3;4720;6.00;4.92;28320.00;23234.59;0.15128;0.12412
71;13924;3;4641;6.00;4.97;27846.00;23069.35;0.14875;0.12323
72;13689;3;4563;6.00;5.02;27378.00;22902.45;0.14625;0.12234
73;13689;3;4563;6.00;5.07;27378.00;23124.18;0.14625;0.12353
74;13456;3;4485;6.00;5.12;26910.00;22947.74;0.14375;0.12258
75;13225;3;4408;6.00;5.17;26448.00;22769.73;0.14128;0.12163
