Row;blocks;up ramps;blocks per ramp;fixed headway(min);adaptative headway(min);total time(min);adaptative total time(min);total time(working years);adaptativive total time(working years)
0;32902;1;32902;8.00;2.33;263216.00;76771.33;1.40607;0.41010
1;32400;1;32400;8.00;2.34;259200.00;75935.04;1.38462;0.40564
2;32041;1;32041;8.00;2.36;256328.00;75578.15;1.36927;0.40373
3;31684;1;31684;8.00;2.38;253472.00;75295.95;1.35402;0.40222
4;31329;1;31329;8.00;2.40;250632.00;75065.13;1.33885;0.40099
5;30976;1;30976;8.00;2.42;247808.00;74872.90;1.32376;0.39996
6;30976;1;30976;8.00;2.44;247808.00;75567.13;1.32376;0.40367
7;30625;1;30625;8.00;2.46;245000.00;75432.53;1.30876;0.40295
8;30276;1;30276;8.00;2.49;242208.00;75317.71;1.29385;0.40234
9;29929;1;29929;8.00;2.51;239432.00;75218.94;1.27902;0.40181
10;29584;1;29584;8.00;2.54;236672.00;75133.17;1.26427;0.40135
11;29241;1;29241;8.00;2.57;233928.00;75057.88;1.24962;0.40095
12;28900;1;28900;8.00;2.59;231200.00;74990.87;1.23504;0.40059
13;28561;1;28561;8.00;2.62;228488.00;74930.27;1.22056;0.40027
14;28224;1;28224;8.00;2.65;225792.00;74874.44;1.20615;0.39997
15;28224;1;28224;8.00;2.68;225792.00;75720.70;1.20615;0.40449
16;27889;1;27889;8.00;2.71;223112.00;75675.05;1.19184;0.40425
17;27556;1;27556;8.00;2.74;220448.00;75630.37;1.17761;0.40401
18;27225;1;27225;8.00;2.78;217800.00;75585.59;1.16346;0.40377
19;26896;1;26896;8.00;2.81;215168.00;75539.77;1.14940;0.40352
20;26569;1;26569;8.00;2.84;212552.00;75492.05;1.13543;0.40327
21;26244;1;26244;8.00;2.87;209952.00;75441.66;1.12154;0.40300
22;25921;1;25921;8.00;2.91;207368.00;75387.88;1.10774;0.40271
23;25600;1;25600;8.00;2.94;204800.00;75330.03;1.09402;0.40240
24;25600;1;25600;8.00;2.98;204800.00;76217.27;1.09402;0.40714
25;25281;1;25281;8.00;3.01;202248.00;76154.75;1.08039;0.40681
26;24964;1;24964;8.00;3.05;199712.00;76086.50;1.06684;0.40645
27;24649;1;24649;8.00;3.08;197192.00;76012.07;1.05338;0.40605
28;24336;1;24336;8.00;3.12;194688.00;75931.02;1.04000;0.40561
29;24025;1;24025;8.00;3.16;192200.00;75842.93;1.02671;0.40514
30;23716;1;23716;8.00;3.19;189728.00;75747.45;1.01350;0.40463
31;23409;1;23409;8.00;3.23;187272.00;75644.23;1.00039;0.40408
32;23409;1;23409;8.00;3.27;187272.00;76530.09;1.00039;0.40881
33;23104;1;23104;8.00;3.31;184832.00;76415.51;0.98735;0.40820
34;22801;1;22801;8.00;3.35;182408.00;76292.27;0.97440;0.40754
35;22500;1;22500;8.00;3.38;180000.00;76160.15;0.96154;0.40684
36;22201;1;22201;8.00;3.42;177608.00;76018.88;0.94876;0.40608
37;21904;1;21904;8.00;3.46;175232.00;75868.27;0.93607;0.40528
38;21609;1;21609;8.00;3.50;172872.00;75708.14;0.92346;0.40442
39;21316;1;21316;8.00;3.54;170528.00;75538.30;0.91094;0.40352
40;21025;1;21025;8.00;3.58;168200.00;75358.62;0.89850;0.40256
41;21025;1;21025;8.00;3.63;168200.00;76216.56;0.89850;0.40714
42;20736;1;20736;8.00;3.67;165888.00;76021.29;0.88615;0.40610
43;20449;1;20449;8.00;3.71;163592.00;75815.70;0.87389;0.40500
44;20164;1;20164;8.00;3.75;161312.00;75599.70;0.86171;0.40384
45;19881;1;19881;8.00;3.79;159048.00;75373.17;0.84962;0.40263
46;19600;1;19600;8.00;3.83;156800.00;75136.06;0.83761;0.40137
