Course;Height;blocks;Separation;New base size;Length;Ramp inclination;Start height;% total height;Ramp length (m);0
0;27,69;39;21,59;187,18;211,7;7,45;0;0;0;27,69
1;22,01;31;17,54;152,09;171,96;7,29;27,69;18,84;211,7;49,7
2;18,46;26;14,25;123,59;139,8;7,52;49,7;33,82;383,66;68,16
3;14,91;21;11,58;100,42;113,58;7,48;68,16;46,38;523,46;83,07
4;12,07;17;9,41;81,6;92,29;7,45;83,07;56,52;637,04;95,14
5;9,94;14;7,65;66,3;75,01;7,55;95,14;64,73;729,33;105,08
6;7,81;11;6,21;53,87;60,91;7,31;105,08;71,5;804,33;112,89
7;6,39;9;5,05;43,78;49,5;7,36;112,89;76,81;865,24;119,28
8;4,97;7;4,1;35,57;40,19;7,05;119,28;81,16;914,74;124,25
9;4,26;6;3,33;28,9;32,69;7,43;124,25;84,54;954,94;128,51
10;3,55;5;2,71;23,49;26,57;7,61;128,51;87,44;987,62;132,06
11;2,84;4;2,2;19,08;21,59;7,5;132,06;89,86;1014,19;134,9
12;2,13;3;1,79;15,51;17,52;6,93;134,9;91,79;1035,78;137,03
13;2,13;3;1,45;12,6;14,29;8,48;137,03;93,24;1053,3;139,16
14;1,42;2;1,18;10,24;11,57;7;139,16;94,69;1067,58;140,58
15;1,42;2;0,96;8,32;9,44;8,56;140,58;95,65;1079,15;142
