Course;Height;blocks;Separation;New base size;Length;Ramp inclination;Start height;% total height;Ramp length (m);
0;25,9;37;19,56;176,14;198,37;7,44;0;0;0;25,9
1;21,7;31;16;144,14;162,39;7,61;25,9;18,05;198,37;47,6
2;17,5;25;13,09;117,95;132,85;7,5;47,6;33,17;360,76;65,1
3;14;20;10,72;96,52;108,67;7,34;65,1;45,37;493,61;79,1
4;11,9;17;8,77;78,98;88,98;7,62;79,1;55,12;602,28;91
5;9,8;14;7,18;64,63;72,82;7,66;91;63,41;691,27;100,8
6;7,7;11;5,87;52,89;59,55;7,37;100,8;70,24;764,09;108,5
7;6,3;9;4,8;43,28;48,73;7,37;108,5;75,61;823,64;114,8
8;4,9;7;3,93;35,41;39,84;7,01;114,8;80;872,37;119,7
9;4,2;6;3,22;28,98;32,63;7,33;119,7;83,41;912,22;123,9
10;3,5;5;2,63;23,71;26,71;7,47;123,9;86,34;944,84;127,4
11;2,8;4;2,15;19,41;21,85;7,3;127,4;88,78;971,55;130,2
12;2,1;3;1,76;15,88;17,85;6,71;130,2;90,73;993,4;132,3
