Row;blocks;ramp inclination;Ramp length (m);Ramp length total (m);distance blocks (Km);distance blocks Ramp (Km);distance blocks Horiz (Km);Sum force blocks (GJ);Sum Vert, force blocks (GJ);Sum Horiz, force blocks (GJ);Vert, force blocks row (GJ);Horiz, force blocks row (GJ);Total force blocks row (GJ);% Decrement blocks;% increase Distance;% increase Force
0;32902;7,60;0,00;0,00;5785,943;0,000;5785,943;89881,740;0,000;89881,740;0,000;89881,740;89881,740
1;32582;7,34;5,51;5,51;5778,158;180,514;5597,644;180175,100;3298,618;176875,200;3298,618;86993,510;90293,210;99;99,87;100,46
2;32264;7,41;10,92;10,92;5769,434;353,663;5415,771;270851,600;9769,525;261075,700;6474,080;84201,050;90676,390;99;99,85;100,42
3;31948;7,43;16,33;16,33;5763,585;523,478;5240,107;361942,800;19350,040;342581,300;9583,282;81505,720;91090,600;99;99,90;100,46
4;31633;7,44;21,75;21,75;5760,378;689,162;5071,216;453477,100;32003,360;421490,600;12622,950;78909,310;91534,380;99;99,94;100,49
5;31320;7,44;27,18;27,18;5759,878;851,615;4908,263;545484,900;47649,140;497902,400;15593,000;76412,140;92008,130;99;99,99;100,52
6;31009;7,45;32,60;32,60;5809,559;1021,612;4787,947;638489,300;66384,390;572197,800;18707,240;74295,180;93003,270;99;100,86;101,08
7;30699;7,45;38,02;38,02;5815,793;1177,416;4638,376;732057,300;87953,590;644191,600;21570,490;71993,770;93568,520;99;100,11;100,61
8;30390;7,45;43,44;43,44;5824,948;1330,683;4494,265;826223,900;112289,000;713985,100;24377,280;69793,940;94166,830;98;100,16;100,64
9;30084;7,45;48,86;48,86;5836,957;1479,660;4357,297;921021,900;139340,500;781680,600;27097,510;67695,200;94798,850;98;100,21;100,67
10;29778;7,45;54,28;54,28;5851,895;1624,557;4227,337;1016487,000;169252,300;847378,500;29774,800;65697,970;95464,610;98;100,26;100,70
11;29474;7,45;59,71;59,71;5869,749;1766,755;4102,993;1112651,000;201727,500;911181,300;32357,070;63802,040;96164,660;98;100,31;100,73
12;29172;7,45;65,13;65,13;5890,472;1904,323;3986,148;1209554,000;236700,600;973187,400;34900,550;62006,360;96899,240;98;100,35;100,76
13;28871;7,45;70,55;70,55;5914,180;2038,324;3875,855;1307219,000;274107,000;1033499,000;37354,610;60311,370;97668,580;98;100,40;100,79
14;28572;7,45;75,97;75,97;5999,159;2196,188;3802,971;1406420,000;313889,800;1092470,000;40237,620;58970,700;99199,820;98;101,44;101,57
15;28275;7,45;81,39;81,39;6030,074;2324,655;3705,419;1506486,000;356940,600;1149942,000;42585,650;57473,140;100067,600;98;100,52;100,87
16;27979;7,45;86,82;86,82;6063,889;2450,699;3613,190;1607453,000;402258,000;1206014,000;44890,830;56073,740;100970,400;98;100,56;100,90
17;27685;7,46;92,24;92,24;6100,484;2572,724;3527,760;1709361,000;449779,000;1260787,000;47139,320;54772,140;101906,800;98;100,60;100,93
18;27392;7,46;97,66;97,66;6139,911;2691,426;3448,485;1812236,000;499441,600;1314354,000;49321,460;53566,840;102876,900;98;100,65;100,95
19;27100;7,46;103,08;103,08;6182,012;2806,208;3375,803;1916114,000;551183,800;1366813,000;51414,780;52457,210;103879,600;98;100,69;100,97
20;26811;7,46;108,51;108,51;6226,812;2918,224;3308,588;2021030,000;604063,500;1418255,000;53463,800;51441,460;104915,000;98;100,72;101,00
21;26522;7,46;113,93;113,93;6274,181;3027,111;3247,070;2127010,000;659782,800;1468772,000;55474,310;50518,430;105982,000;98;100,76;101,02
22;26236;7,46;119,35;119,35;6324,122;3131,664;3192,458;2234091,000;716540,400;1518458,000;57400,920;49687,040;107079,400;98;100,80;101,04
23;25951;7,46;124,77;124,77;6450,593;3274,045;3176,548;2343300,000;776737,800;1567664,000;59988,600;49208,550;109208,600;98;102,00;101,99
24;25667;7,46;130,19;130,19;6507,199;3375,714;3131,484;2453694,000;837893,100;1616220,000;61820,430;48557,690;110395,200;98;100,88;101,09
25;25385;7,46;135,62;135,62;6566,100;3470,710;3095,389;2565294,000;901646,500;1664213,000;63625,980;47993,740;111608,900;98;100,91;101,10
