Row;blocks;ramp inclination;Ramp length (m);Ramp length total (m);distance blocks (Km);distance blocks Ramp (Km);distance blocks Horiz (Km);Sum force blocks (MJ);Sum Vert, force blocks (MJ);Sum Horiz, force blocks (MJ);Vert, force blocks row (MJ);Horiz, force blocks row (MJ);Total force blocks row (MJ);% Decrement blocks;% increase Distance;% increase Force
0;32902;4,1;0;0;5785,989;0;5785,989;89882,48;0;89882,48;0;89882,48;89882,48;;;
1;32584;4,06;10;10;5833,805;327,611;5506,194;181059,1;5602,771;175455,1;5602,771;85572,36;91176,46;99;100,83;101,44
2;32267;4,07;19,95;19,95;5890,736;646,132;5244,605;273655,9;16655,39;256994,9;11057,84;81539,62;92596,76;99;100,98;101,56
3;31952;4,08;29,9;29,9;5959,694;957,67;5002,025;367844,8;33060,38;334794,6;16396,53;77798,85;94189,35;99;101,17;101,72
4;31638;4,08;39,85;39,85;6041,117;1263,013;4778,104;463806,9;54607,38;409153,4;21607,58;74358,21;95962,3;99;101,37;101,88
5;31326;4,08;49,8;49,8;6135,312;1559,871;4575,441;561729,9;81298,69;480378,3;26692,52;71225,2;97922,98;99;101,56;102,04
6;31016;4,08;59,76;59,76;6298,973;1871,924;4427,049;662441,5;113379,6;549056,6;32029,65;68677,89;100711,7;99;102,67;102,85
7;30707;4,08;69,71;69,71;6422,919;2159,826;4263,093;765559,5;150427,9;615226,3;36935,45;66170,07;103118,5;99;101,97;102,39
8;30400;4,08;79,66;79,66;6560,45;2439,682;4120,768;871285,1;192073,9;679205,8;41759,27;63979,42;105725,5;99;102,14;102,53
9;30094;4,08;89,62;89,62;6711,651;2712,615;3999,036;979817,8;238701,9;741312,4;46422,95;62106,09;108533,1;98;102,3;102,66
10;29790;4,08;99,57;99,57;6876,346;2979,94;3896,406;1091359;289699;801861,9;50996,61;60548,18;111540,9;98;102,45;102,77
11;29488;4,08;109,52;109,52;7054,384;3239,589;3814,796;1206107;344955,3;861165,4;55461,56;59303,2;114746,9;98;102,59;102,87
12;29186;4,08;119,48;119,48;7245,638;3494,188;3751,449;1324255;404361,8;919531,9;59772,26;58366,9;118148,2;98;102,71;102,96
13;28887;4,08;129,43;129,43;7449,672;3741,024;3708,648;1445993;468757,4;977266,7;64016,34;57734,18;121740,7;98;102,82;103,04
14;28589;4,08;139,39;139,39;7753,067;4029,693;3723,374;1572631;537888,1;1034974;68916,4;57707,48;126636,4;98;104,07;104,02
