Row;blocks;ramp inclination;Ramp length (m);Ramp length total (m);distance blocks (Km);distance blocks Ramp (Km);distance blocks Horiz (Km);Sum force blocks (MJ);Sum Vert, force blocks (MJ);Sum Horiz, force blocks (MJ);Vert, force blocks row (MJ);Horiz, force blocks row (MJ);Total force blocks row (MJ);% Decrement blocks;% increase Distance;% increase Force
0;32902;5;0;0;5786,182;0;5786,182;89885,65;0;89885,65;0;89885,65;89885,65;;;
1;32589;5,27;7,69;7,69;5797,444;251,977;5545,467;180494,8;4421,744;176071,6;4421,744;86185,84;90608,97;99;100,19;100,8
2;32278;5,29;15,33;15,33;5813,379;496,38;5317;271885,8;13139,51;258744,6;8713,394;82673,45;91390,55;99;100,27;100,86
3;31968;5,3;22,96;22,96;5836,7;735,62;5101,08;364158,8;26066,65;338098,7;12918,82;79354,83;92272,55;99;100,4;100,97
4;31660;5,3;30,6;30,6;5867,579;969,89;4897,689;457418,2;43067,52;414334,1;17027,15;76235,14;93259,19;99;100,53;101,07
5;31353;5,3;38,24;38,24;5955,695;1211,887;4743,808;552290,5;64351,06;487931,1;21278,6;73597,7;94872,52;99;101,5;101,73
6;31048;5,3;45,88;45,88;6004,316;1437,285;4567,031;648412,8;89524,66;558812,8;25236,05;70880,98;96120,82;99;100,82;101,32
7;30744;5,31;53,52;53,52;6061,133;1657,503;4403,63;745896,8;118706,5;627185,4;29117,28;68372,64;97483,65;99;100,95;101,42
8;30442;5,31;61,16;61,16;6126,19;1872,807;4253,384;844861,1;151679,7;693256,8;32880,68;66073,19;98963,4;99;101,07;101,52
9;30141;5,31;68,81;68,81;6199,511;2082,413;4117,098;945421,6;188386,8;757240,1;36582,36;63982,91;100560,2;99;101,2;101,61
10;29842;5,31;76,45;76,45;6281,162;2288,751;3992,411;1047697;228596,1;819342,1;40169,27;62101,55;102275,4;99;101,32;101,71
11;29544;5,31;84,09;84,09;6371,017;2487,576;3883,44;1151806;272219,4;879770,9;43670,48;60428,15;104108;99;101,43;101,79
12;29248;5,31;91,73;91,73;6535,369;2714,187;3821,181;1258690;319720,5;939003,1;47632,95;59233,21;106882,5;98;102,58;102,67
13;28953;5,31;99,37;99,37;6644,218;2904,797;3739,421;1367686;370503,4;996977,4;51022,38;57973,82;108993,9;98;101,67;101,98
14;28660;5,31;107,01;107,01;6761,066;3092,329;3668,737;1478906;424482,2;1053894;54305,71;56917,74;111220,1;98;101,76;102,04
15;28368;5,31;114,65;114,65;6885,798;3275,222;3610,576;1592466;481571,3;1109957;57474,98;56061,61;113559,1;98;101,84;102,1
16;28078;5,31;122,29;122,29;7018,149;3450,812;3567,337;1708474;542610,9;1165358;60585,48;55402,2;116008;98;101,92;102,16
17;27789;5,31;129,93;129,93;7157,886;3624,049;3533,836;1827035;606581,6;1220294;63627,98;54935,25;118563,7;98;101,99;102,2
18;27502;5,31;137,57;137,57;7304,79;3790,402;3514,388;1948256;673400,3;1274953;66585,67;54656,39;121222,4;98;102,05;102,24
19;27216;5,31;145,21;145,21;7458,496;3954,086;3504,41;2072233;742984,8;1329516;69444,3;54560,71;123979,8;98;102,1;102,27
20;26931;5,31;152,85;152,85;7710,308;4160,247;3550,061;2200268;816137,7;1384481;73067,79;54964,29;128036,1;98;103,38;103,27
21;26649;5,31;160,49;160,49;7880,044;4316,802;3563,242;2331302;891931,9;1439709;75794,32;55225,96;131023,7;98;102,2;102,33
22;26367;5,31;168,13;168,13;8055,464;4468,287;3587,177;2465387;970287,1;1495358;78444,81;55652,18;134093,2;98;102,23;102,34
23;26088;5,31;175,78;175,78;8236,049;4613,066;3622,982;2602631;1051124;1551589;81029,04;56233,86;137236,5;98;102,24;102,34
24;25809;5,31;183,42;183,42;8421,287;4755,36;3665,927;2743075;1135074;1608550;83468,23;56961,77;140445,4;98;102,25;102,34
25;25532;5,31;191,06;191,06;8610,445;4889,939;3720,506;2886799;1222316;1666376;85899,65;57824,62;143709;98;102,25;102,32
26;25257;5,31;198,7;198,7;8802,656;5023,241;3779,415;3033814;1311784;1725187;88221,33;58809,61;147015,9;98;102,23;102,3
0;24983;5;0;198,7;9320,858;5484,843;3836,015;3180997;1397938;1784700;87668,8;59511,88;147181,5;;;
1;24704;5,19;7,81;206,51;9261,106;5608,861;3652,244;3327964;1489556;1841355;90318,23;56654,24;146966,9;98;99,36;98,75
2;24427;5,22;15,56;214,25;9206,633;5730,667;3475,966;3474497;1583249;1895322;92551,74;53968,92;146527,1;98;99,41;98,74
3;24152;5,22;23,31;222,01;9159,637;5844,796;3314,841;3620655;1678942;1946784;94696,47;51462,68;146163,2;98;99,49;98,73
4;23878;5,22;31,06;229,76;9120,254;5958,001;3162,253;3766562;1776562;1995924;96775,17;49140,29;145901,1;98;99,57;98,72
5;23606;5,23;38,82;237,51;9088,651;6063,474;3025,177;3912301;1876034;2042928;98711,89;47005,08;145748,1;98;99,65;98,71
6;23335;5,23;46,57;245,27;9065,076;6168,213;2896,863;4058018;1977286;2087985;100664,9;45058,73;145707,8;98;99,74;98,71
7;23066;5,23;54,33;253,02;9049,555;6265,001;2784,553;4203791;2080248;2131288;102456,5;43302,47;145782,3;98;99,83;98,7
8;22798;5,23;62,08;260,78;9042,112;6361,464;2680,648;4349772;2184848;2173022;104227,4;41736,7;145973,5;98;99,92;98,69
9;22532;5,23;69,84;268,53;9155,244;6536,132;2619,112;4497686;2292437;2213591;107353,5;40565,2;147902,4;98;101,25;100
10;22267;5,23;77,59;276,29;9165,84;6626,247;2539,593;4646087;2398605;2252972;108976,7;39379,78;148359,5;98;100,12;98,68
11;22004;5,23;85,35;284,04;9184,436;6712,333;2472,103;4795020;2509182;2291353;110566,5;38382,21;148932,6;98;100,2;98,67
12;21743;5,23;93,1;291,8;9210,976;6790,243;2420,733;4944575;2624023;2328925;112023,3;37570;149619,9;98;100,29;98,66
13;21483;5,23;100,86;299,56;9245,168;6868,373;2376,795;5094979;2737316;2365874;113471,2;36940,21;150419,3;98;100,37;98,65
14;21225;5,23;108,61;307,31;9286,9;6938,396;2348,504;5246332;2854661;2402366;114858,1;36488,85;151327,8;98;100,45;98,64
15;20968;5,23;116,37;315,07;9335,829;7008,73;2327,098;5398721;2970404;2438584;116100,3;36211,87;152341,9;98;100,53;98,64
16;20713;5,23;124,12;322,82;9391,772;7071,022;2320,75;5552137;3089992;2474696;117369,8;36103,68;153456,9;98;100,6;98,63
17;20459;5,23;131,88;330,58;9585,738;7233,999;2351,74;5708654;3209580;2511109;120145,4;36403,44;156575,9;98;102,07;100
18;20207;5,23;139,63;338,33;9657,03;7290,209;2366,821;5866571;3332874;2547737;121283,8;36623,43;157913,2;98;100,74;98,62
