Row;blocks;ramp inclination;Ramp length (m);Ramp length total (m);distance blocks (Km);distance blocks Ramp (Km);distance blocks Horiz (Km);Sum force blocks (GJ);Sum Vert, force blocks (GJ);Sum Horiz, force blocks (GJ);Vert, force blocks row (GJ);Horiz, force blocks row (GJ);Total force blocks row (GJ);% Decrement blocks;% increase Distance;% increase Force
0;32902;4,2;0;0;5786,229;0;5786,229;89886,54;0;89886,54;0;89886,54;89886,54;;;
1;32590;4,05;10,03;10,03;5844,468;328,557;5515,911;181234,1;5618,791;175616,8;5618,791;85730,2;91347,66;99;101,01;101,63
2;32280;4,06;20;20;5910,239;647,988;5262,251;274144,7;16700,11;257445,1;11081,37;81828,42;92910,63;99;101,13;101,71
3;31972;4,06;29,97;29,97;5986,39;960,691;5025,698;368764,9;33106,06;335638,2;16430,96;78193,2;94620,59;99;101,29;101,84
4;31665;4,07;39,95;39,95;6073,292;1265,801;4807,491;465249,7;54778,93;410471;21652,35;74832,45;96484,77;99;101,45;101,97
5;31360;4,07;49,93;49,93;6224,672;1581,475;4643,198;564339,6;81839,38;482501,4;27058,72;72029,98;99090,36;99;102,49;102,7
6;31056;4,07;59,9;59,9;6337,084;1876,093;4460,991;665676,4;113920,3;551733,3;32094,84;69231,04;101335,8;99;101,81;102,27
7;30753;4,07;69,88;69,88;6461,237;2164,58;4296,658;769427,1;150968,6;618454,2;37037,19;66720,59;103751,2;99;101,96;102,38
8;30452;4,07;79,86;79,86;6597,174;2445,469;4151,705;875764,4;192614,6;682954;41846,05;64499,88;106338,4;99;102,1;102,49
9;30153;4,07;89,83;89,83;6744,95;2719,606;4025,344;984864,4;239242,6;745523,3;46514,81;62569,15;109098,8;99;102,24;102,6
10;29855;4,07;99,81;99,81;6904,508;2986,074;3918,434;1096897;290239,7;806451,6;51117,14;60927;112032,1;99;102,37;102,69
11;29558;4,07;109,79;109,79;7075,723;3247,32;3828,403;1212037;345496;866022,3;55582,93;59571,09;115137,2;99;102,48;102,77
12;29263;4,07;119,77;119,77;7336,267;3542,788;3793,479;1331436;406568,7;924807,1;60596,52;58785,36;119401,6;99;103,68;103,7
