theta_deg,mu,crew_size_haulers,team_length_m,notes
6,0.10,16,12.0,"Double-file spacing 1.5 m/man → team_length = 0.75×crew"
6,0.20,23,17.3,"Matches Table 1 (Main)"
6,0.30,30,22.5,""
6,0.40,38,28.5,""
6,0.50,45,33.8,""
6,0.60,52,39.0,""
6,0.70,60,45.0,""
6,0.80,67,50.3,""
7,0.10,17,12.8,""
7,0.20,24,18.0,""
7,0.30,32,24.0,""
7,0.40,39,29.3,""
7,0.50,46,34.5,""
7,0.60,54,40.5,""
7,0.70,61,45.8,""
7,0.80,68,51.0,""
8,0.10,18,13.5,""
8,0.20,25,18.8,""
8,0.30,33,24.8,""
8,0.40,40,30.0,""
8,0.50,47,35.3,""
8,0.60,55,41.3,""
8,0.70,62,46.5,""
8,0.80,69,51.8,""
